"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"62","Bad",65,174,9,71,22,0,0,74,4,"4","6",45,1,39,12,0,0,28,99,7,6,1,76
"63","Good",67,117,5,61,26,0,0,93,30,"6","6",27,3,15,3,1,1,86,-8,5,1,3,67
"64","Bad",58,272,6,52,21,1,0,95,55,"6","5",22,6,32,1,8,8,76,73,8,3,3,86
"65","Bad",63,132,8,65,4,0,0,50,1,"4","6",6,1,67,24,0,0,0,56,0,2,0,75
"66","Good",76,269,6,107,32,1,1,97,83,"5","7",32,3,31,0,0,0,42,2,3,2,1,75
"67","Bad",66,87,13,38,14,1,1,93,29,"6","6",16,0,67,0,0,0,48,75,2,3,1,83
"68","Bad",70,195,0,81,31,1,1,100,83,"6","8",35,2,32,0,1,1,46,89,8,2,2,63
"69","Good",79,172,6,47,20,0,0,100,83,"7","8",20,1,55,7,0,0,9,49,3,5,0,67
"70","Bad",59,194,10,54,14,1,1,79,10,"4","6",15,1,29,0,1,1,74,-8,6,1,1,70
"71","Good",68,217,2,110,19,1,1,86,36,"5","2",22,1,55,7,0,0,95,100,3,2,1,100
"72","Good",87,435,4,93,23,0,0,100,83,"7","8",24,2,29,0,0,0,3,92,3,2,0,50
"73","Bad",72,177,21,75,15,1,0,94,13,"6","5",16,0,38,0,0,0,30,-8,5,1,1,86
"74","Bad",65,66,2,19,23,0,0,100,83,"7","8",26,9,19,0,0,0,33,75,15,4,2,87
"75","Good",75,160,3,85,20,1,0,91,10,"3","5",25,1,16,0,0,0,2,28,5,2,0,58
"76","Good",84,170,4,67,16,0,0,100,83,"7","8",17,4,53,4,2,2,1,68,1,4,0,56
"77","Good",88,-8,16,121,24,0,0,100,83,"7","8",0,0,17,24,0,0,0,52,1,2,0,30
"78","Good",72,151,7,60,30,1,0,97,36,"6","5",34,4,27,6,0,0,16,78,3,6,1,45
"79","Bad",74,149,3,36,14,0,0,100,83,"7","8",14,4,50,0,1,1,32,25,3,5,0,80
"80","Good",61,282,2,86,40,1,1,95,1,"0","2",42,4,14,0,3,3,40,100,8,2,2,55
"81","Good",85,55,3,105,28,0,0,100,83,"7","8",4,2,7,2,1,1,3,-8,3,-8,0,19
"82","Bad",83,282,3,65,22,0,0,95,17,"6","6",22,3,55,0,1,1,0,71,0,4,0,57
"83","Good",59,370,11,96,10,2,2,75,35,"6","2",29,1,50,24,1,1,76,-8,2,1,1,100
"84","Bad",60,28,3,17,13,0,0,100,83,"7","8",13,2,38,0,3,3,67,96,5,4,3,75
"85","Bad",68,82,6,25,5,0,0,100,83,"7","8",5,3,0,1,1,1,88,-8,3,-8,1,100
"86","Good",83,185,5,70,19,0,0,95,42,"6","6",18,2,37,5,0,0,14,73,1,2,0,60
"87","Bad",70,131,1,75,19,0,0,95,0,"4","6",20,2,25,0,5,5,15,46,4,3,1,54
"88","Good",66,-8,17,114,15,4,3,68,8,"3","2",0,0,42,24,0,0,8,75,3,2,0,83
"89","Good",85,182,13,74,10,0,0,100,83,"7","8",10,0,50,18,0,0,12,34,4,2,0,86
"90","Bad",71,12,12,12,1,0,0,100,83,"7","8",1,0,100,0,2,2,-8,88,-8,1,-8,100
"91","Good",76,-8,1,45,17,0,0,100,83,"7","8",0,3,25,0,3,3,6,-8,3,4,2,64
"92","Good",82,429,10,115,30,0,0,97,19,"6","6",30,1,13,11,0,0,10,51,11,2,0,65
"93","Bad",60,264,22,53,10,2,2,100,83,"0","8",12,0,40,0,1,1,92,63,4,2,2,86
"94","Good",88,322,7,109,14,0,0,100,83,"7","8",15,1,43,1,1,1,9,67,1,2,0,50
"95","Good",76,177,30,80,13,0,0,85,26,"6","6",13,0,54,0,1,1,42,-8,2,1,0,60
"96","Good",67,85,6,35,16,0,0,100,83,"7","8",16,4,19,0,2,2,78,96,5,2,3,78
"97","Bad",76,82,19,55,10,0,0,100,83,"7","8",10,0,40,0,2,2,40,36,2,3,1,71
"98","Good",80,264,5,53,16,0,0,100,83,"7","8",27,1,75,-8,0,0,42,23,2,3,0,83
"99","Bad",76,375,37,219,4,0,0,50,8,"4","6",6,0,17,0,3,3,22,-8,2,-8,0,67
"100","Good",84,140,2,54,8,0,0,100,83,"7","8",9,2,33,3,2,1,10,89,1,3,0,67
"101","Good",76,228,46,115,22,1,1,92,68,"6","2",25,0,28,24,2,2,43,-8,5,1,0,75
"102","Good",78,306,1,80,19,0,0,90,13,"6","6",20,3,40,0,1,1,9,-8,6,1,0,64
"103","Bad",55,116,14,60,15,1,0,59,6,"3","5",3,0,24,24,0,0,85,8,3,2,2,83
"104","Bad",60,180,2,61,12,8,6,67,30,"6","2",18,3,44,24,0,0,46,97,4,1,2,86
"105","Bad",67,118,6,37,23,2,2,88,70,"6","2",26,5,42,0,0,0,31,70,5,3,1,67
"106","Bad",59,90,11,50,27,0,0,96,76,"6","6",27,1,15,1,2,2,68,83,11,1,2,86
"107","Bad",69,390,3,100,18,3,1,67,3,"4","4",11,1,10,14,0,0,7,-8,3,-8,0,27
"108","Good",86,252,1,78,7,0,0,100,83,"7","8",10,3,30,4,3,3,29,-8,1,2,0,50
"109","Good",70,37,13,22,9,0,0,100,83,"5","8",9,0,11,0,0,0,39,-8,5,1,1,67
"110","Bad",70,144,2,70,34,0,0,100,83,"7","8",35,3,51,2,6,6,61,51,5,5,1,83
"111","Bad",87,130,12,46,26,0,0,100,83,"7","8",26,0,12,0,0,0,4,-8,2,-8,0,40
"112","Good",82,374,4,100,26,0,0,100,83,"7","8",27,3,22,3,2,2,28,94,3,4,2,50
"113","Bad",56,266,2,94,29,0,0,100,83,"7","8",30,1,17,0,2,2,76,6,14,2,7,67
"114","Good",74,188,8,90,25,1,0,96,73,"6","5",27,2,46,0,0,0,29,49,6,3,1,64
"115","Bad",71,261,20,96,17,0,0,100,83,"7","8",17,0,18,0,2,2,78,88,6,2,5,73
"116","Bad",65,143,7,85,13,0,0,93,11,"4","6",14,2,43,0,0,0,73,76,3,3,2,100
"117","Bad",65,241,37,95,15,0,0,76,0,"4","6",17,0,29,24,1,1,51,43,3,1,1,80
"118","Bad",61,93,1,41,29,0,0,100,83,"7","8",31,4,20,1,9,8,39,56,10,2,3,71
"119","Bad",65,153,4,81,17,0,0,89,29,"6","6",19,3,53,1,1,1,60,-8,4,2,0,86
"120","Bad",59,183,47,133,2,4,4,40,13,"6","2",7,0,20,0,1,1,-8,-8,-8,1,-8,100
"121","Good",88,368,10,155,16,0,0,100,83,"7","8",17,1,18,2,1,1,7,-8,4,1,0,71
"122","Bad",64,30,13,20,3,0,0,67,-8,"6","6",4,0,100,0,0,0,-8,72,-8,3,-8,100
"123","Bad",71,206,2,85,34,0,0,100,83,"7","8",35,1,34,0,1,1,95,61,5,2,5,70
"124","Good",80,382,4,90,21,0,0,95,69,"6","6",21,3,0,24,0,0,0,-8,3,-8,2,23
"125","Good",65,133,5,41,17,0,0,94,5,"4","6",17,5,53,0,1,1,43,90,2,4,1,67
"126","Good",72,262,6,99,30,1,1,94,15,"6","2",17,2,65,5,0,0,31,43,3,11,1,78
"127","Good",70,284,1,64,12,1,0,71,9,"4","5",14,1,14,0,1,1,15,60,3,2,0,63
"128","Bad",59,134,6,48,11,1,1,60,3,"4","4",26,2,40,17,0,0,49,91,4,3,0,70
"129","Bad",66,142,9,46,5,1,1,83,38,"6","2",6,1,17,4,3,3,49,-8,3,-8,1,100
"130","Bad",66,-8,6,59,31,0,0,100,83,"7","8",31,3,35,24,0,0,60,70,5,4,2,82
"131","Good",74,284,4,84,43,0,0,98,23,"6","6",44,8,25,0,2,1,9,9,12,2,1,50
"132","Good",79,289,4,105,48,0,0,100,83,"6","7",51,1,29,0,2,2,40,79,5,3,1,44
"133","Bad",61,329,20,94,16,4,4,94,5,"0","2",17,0,47,18,0,0,63,3,2,3,1,100
"134","Bad",63,194,2,42,24,3,2,93,29,"6","4",28,6,14,0,3,3,33,-8,7,2,3,50
"135","Bad",57,23,7,14,12,0,0,92,2,"4","6",12,3,25,0,5,5,38,-8,3,-8,2,50
"136","Bad",50,54,2,29,13,1,1,87,1,"0","2",15,3,60,0,1,1,99,68,4,2,1,100
"137","Bad",76,191,3,76,18,0,0,100,83,"7","8",18,3,50,24,1,1,67,66,5,4,1,90
"138","Good",89,200,1,69,15,0,0,100,83,"7","8",18,1,28,0,1,1,3,-8,2,1,0,75
"139","Bad",64,192,1,76,22,0,0,96,16,"6","6",25,2,32,0,0,0,67,64,6,4,4,77
"140","Good",76,121,2,64,17,0,0,89,16,"6","6",18,1,50,3,1,1,4,32,2,2,0,67
"141","Bad",56,100,22,47,2,3,2,40,7,"0","2",5,0,20,0,1,1,-8,-8,-8,1,-8,100
"142","Good",73,46,1,123,30,0,0,94,12,"6","6",7,3,12,7,0,0,26,66,9,2,0,55
"143","Good",55,125,5,58,10,1,0,50,3,"4","5",14,2,36,24,1,1,56,71,4,4,2,89
"144","Good",78,208,13,112,16,0,0,94,3,"4","6",17,0,76,24,0,0,0,-8,0,1,0,50
"145","Bad",64,184,6,130,5,1,1,83,2,"0","2",6,1,0,0,0,0,10,-8,1,-8,0,40
"146","Good",67,114,5,52,13,1,0,67,30,"6","5",15,2,13,5,0,0,69,33,4,2,2,86
"147","Bad",59,129,4,43,15,1,0,94,68,"6","5",16,4,38,1,6,6,71,92,9,3,3,92
"148","Good",76,158,2,65,18,0,0,100,83,"7","8",19,2,26,1,1,1,28,67,3,3,1,67
"149","Bad",67,-8,4,20,17,1,1,100,83,"6","8",18,8,17,24,1,1,10,89,2,2,1,29
"150","Bad",54,298,5,107,5,7,6,38,2,"2","2",13,3,15,0,0,0,44,29,3,2,0,83
"151","Bad",57,108,15,68,21,1,1,95,8,"0","6",19,0,57,24,0,0,68,80,3,5,0,89
"152","Good",68,177,2,70,32,0,0,97,16,"6","6",46,2,60,1,2,2,85,-8,5,12,5,100
"153","Bad",62,137,31,68,9,1,1,78,16,"6","6",9,0,33,19,0,0,12,43,1,2,0,75
"154","Bad",68,146,4,80,25,0,0,88,28,"6","6",26,3,23,3,5,5,33,95,1,2,-8,67
"155","Bad",67,-8,3,43,19,0,0,100,83,"7","8",22,2,27,14,0,0,53,41,6,4,3,71
"156","Good",79,117,15,59,31,0,0,97,53,"6","6",31,0,29,0,1,1,0,60,0,4,0,67
"157","Good",77,164,3,56,36,0,0,97,31,"6","6",36,4,22,24,2,2,3,81,3,3,0,40
"158","Bad",63,42,2,17,13,2,2,93,83,"5","7",16,4,43,0,1,1,52,82,6,4,1,91
"159","Bad",71,-8,70,93,5,1,1,100,83,"6","8",5,0,40,14,0,0,47,-8,1,-8,0,50
"160","Good",85,389,8,97,29,0,0,100,83,"7","8",30,2,33,0,1,1,18,76,5,1,0,40
"161","Good",84,172,3,33,17,0,0,100,83,"7","8",13,3,35,16,0,0,6,100,1,2,0,38
"162","Good",71,59,4,33,17,0,0,100,83,"7","8",18,2,41,4,2,2,63,31,3,2,2,56
"163","Bad",71,161,4,70,12,1,1,100,83,"6","8",12,2,33,2,5,5,12,-8,2,-8,0,50
"164","Bad",74,311,32,118,15,0,0,93,5,"4","6",15,0,53,0,0,0,6,-8,2,1,0,50
"165","Bad",62,159,2,62,11,2,1,53,12,"6","3",17,4,29,0,1,1,38,92,3,1,0,44
"166","Good",56,237,5,92,24,3,2,70,5,"3","5",27,3,52,0,8,7,22,65,4,4,1,62
"167","Good",74,332,15,113,19,0,0,95,32,"6","6",20,0,35,21,0,0,58,65,5,3,1,57
"168","Bad",66,164,5,56,11,1,1,91,24,"6","6",13,2,91,7,0,0,98,81,1,3,-8,100
"169","Good",65,175,1,51,53,0,0,100,83,"7","8",65,7,48,24,6,6,36,88,9,9,3,63
"170","Bad",61,146,3,58,35,0,0,63,6,"4","6",44,4,45,6,0,0,27,87,4,3,2,64
"171","Bad",60,240,5,115,11,1,0,73,13,"6","5",15,1,33,14,0,0,93,96,5,2,3,100
"172","Good",80,255,24,106,15,0,0,93,-8,"6","6",15,0,47,0,1,1,0,36,1,4,0,50
"173","Bad",63,243,1,80,13,1,0,75,4,"4","5",16,3,50,0,2,2,14,-8,6,1,0,78
"174","Bad",71,183,7,62,6,1,1,86,73,"6","3",7,2,29,24,2,2,73,-8,4,-8,2,100
"175","Good",57,163,6,62,15,4,4,89,4,"1","3",19,3,16,0,2,2,21,-8,4,1,0,45
"176","Good",84,128,6,70,28,0,0,96,25,"6","6",28,3,14,-8,0,0,3,-8,2,1,0,33
"177","Bad",65,360,14,67,10,1,1,55,17,"5","3",11,0,45,0,0,0,49,-8,2,1,-8,60
"178","Bad",59,191,3,49,54,0,0,100,83,"7","8",65,10,43,1,4,4,83,95,6,5,3,100
"179","Bad",68,126,3,63,29,0,0,97,36,"6","6",29,3,17,3,2,2,79,-8,4,1,3,83
"180","Good",76,193,9,90,32,0,0,100,83,"7","8",35,2,40,0,1,1,37,-8,3,1,1,67
"181","Good",76,222,4,85,47,0,0,100,83,"7","8",47,2,28,0,0,0,37,59,4,4,0,53
"182","Bad",75,212,23,105,11,0,0,82,21,"6","6",11,0,45,24,1,1,13,-8,1,1,0,100
"183","Bad",67,245,27,110,20,0,0,87,10,"4","6",23,0,17,0,0,0,40,6,6,2,1,64
"184","Good",86,204,13,65,38,0,0,100,83,"7","8",34,0,34,12,0,0,0,-8,0,1,0,13
"185","Bad",68,307,1,105,22,1,1,92,5,"4","4",25,2,48,24,3,3,13,42,4,4,1,82
"186","Bad",68,105,7,30,13,1,1,100,83,"6","8",13,3,15,0,0,0,36,-8,6,1,0,70
"187","Bad",72,160,69,106,9,2,2,100,83,"0","8",11,0,0,0,0,0,3,-8,1,-8,0,11
"188","Good",52,30,4,16,23,1,0,96,4,"3","5",24,7,8,1,2,2,35,-8,17,1,1,78
"189","Bad",55,80,20,43,3,2,2,50,38,"6","2",5,0,100,0,0,0,-8,68,-8,2,-8,100
"190","Good",83,54,8,24,5,0,0,100,83,"7","8",6,2,50,24,0,0,5,39,1,2,0,100
"191","Good",72,88,8,70,19,2,2,95,49,"6","2",20,1,10,24,0,0,0,-8,0,-8,0,9
"192","Bad",62,150,13,80,21,1,1,87,8,"0","6",23,0,30,14,0,0,40,-8,7,1,0,100
"193","Bad",58,191,6,92,51,0,0,87,9,"4","6",53,1,26,0,3,3,60,58,14,2,3,85
"194","Bad",79,198,41,83,14,0,0,100,83,"7","8",17,0,29,24,0,0,53,-8,4,1,1,71
"195","Bad",69,146,3,47,16,1,0,84,20,"6","5",19,3,58,3,1,1,1,52,2,4,1,60
"196","Good",87,467,10,65,17,0,0,100,83,"7","8",17,1,12,-8,0,0,1,38,2,1,0,23
"197","Bad",70,97,7,53,14,0,0,94,-8,"6","6",16,1,38,0,1,1,17,69,2,3,0,60
"198","Good",74,352,4,184,25,0,0,100,83,"7","8",53,1,16,1,3,3,25,57,9,1,2,56
"199","Bad",62,146,14,61,10,2,2,82,18,"6","6",12,0,55,0,2,2,50,-8,4,1,2,100
"200","Good",75,140,7,56,21,0,0,100,83,"7","8",22,1,27,0,1,1,20,63,3,2,1,56
"201","Bad",57,148,3,55,43,0,0,86,4,"4","6",43,5,47,7,0,0,48,84,9,4,0,81
"202","Bad",62,113,30,70,10,3,2,71,19,"6","4",15,0,93,0,3,3,0,-8,0,1,0,50
"203","Bad",79,157,1,51,20,0,0,100,83,"7","8",38,4,14,1,1,1,11,-8,3,-8,2,27
"204","Bad",55,236,2,92,52,5,3,83,3,"3","2",64,4,25,3,4,4,16,94,4,6,0,56
"205","Bad",73,71,12,47,9,0,0,89,14,"6","6",9,0,67,0,2,2,17,93,1,3,-8,100
"206","Bad",75,94,1,24,10,0,0,100,83,"7","8",11,5,27,2,4,4,18,66,3,2,0,63
"207","Good",80,322,4,103,25,1,0,92,21,"6","5",26,1,12,0,0,0,2,-8,2,1,1,33
"208","Bad",71,78,4,38,18,1,1,95,55,"6","2",21,3,32,6,0,0,27,-8,6,1,1,64
"209","Bad",63,133,100,113,4,1,1,80,38,"6","6",5,0,80,12,0,0,79,-8,1,-8,-8,100
"210","Bad",79,304,3,111,31,0,0,97,51,"6","6",31,2,13,0,2,2,19,96,8,2,1,59
"211","Bad",75,262,1,82,28,1,0,83,13,"6","5",31,3,20,24,3,3,9,100,5,1,0,47
"212","Bad",71,114,12,66,39,0,0,96,1,"4","6",46,0,41,0,0,0,17,81,6,7,1,50
"213","Bad",63,59,5,31,17,2,2,95,42,"6","2",20,1,53,0,2,2,57,96,2,9,-8,100
"214","Good",80,150,1,65,27,0,0,100,83,"7","8",29,5,17,6,0,0,29,-8,3,1,1,67
"215","Bad",70,270,9,76,14,0,0,100,83,"7","8",14,2,7,24,0,0,59,90,6,1,4,54
"216","Good",87,85,42,63,7,0,0,100,83,"7","8",7,0,29,24,1,1,2,-8,2,1,0,100
"217","Good",79,161,8,83,17,0,0,100,83,"7","8",19,2,42,0,1,1,13,-8,5,1,1,86
"218","Bad",57,225,13,133,24,5,3,71,8,"3","2",28,0,36,24,0,0,94,36,5,3,-8,90
"219","Bad",84,247,3,91,26,0,0,100,83,"7","8",26,2,27,0,2,2,44,-8,5,1,2,33
"220","Good",69,303,1,104,35,0,0,94,61,"6","6",36,1,31,24,0,0,45,61,7,4,3,61
"221","Good",77,85,20,56,14,0,0,100,83,"7","8",15,0,27,0,0,0,21,-8,5,1,1,75
"222","Good",83,140,11,94,17,0,0,94,56,"6","6",18,1,76,-8,0,0,30,77,3,3,0,100
"223","Bad",65,258,5,73,62,0,0,97,7,"4","6",60,7,25,3,2,2,20,54,11,9,1,49
"224","Bad",61,-8,3,40,9,0,0,100,83,"7","8",11,4,36,24,2,2,89,96,3,3,3,88
"225","Good",83,364,3,106,22,1,1,91,27,"6","3",28,2,13,0,4,4,17,-8,4,1,0,63
"226","Good",64,216,2,86,18,5,1,60,42,"6","4",25,2,36,0,4,3,40,58,1,4,1,60
"227","Bad",72,354,4,105,22,0,0,100,83,"7","8",24,5,29,0,0,0,89,77,7,3,5,92
"228","Good",82,178,4,73,18,0,0,95,-8,"6","6",20,3,40,24,4,4,4,44,3,2,0,63
"229","Good",83,283,6,75,26,0,0,100,83,"7","8",26,1,50,0,1,1,22,73,2,2,0,67
"230","Bad",58,120,3,69,11,1,1,91,-8,"6","6",29,2,45,24,6,6,92,86,5,3,1,100
"231","Bad",70,233,6,69,31,0,0,97,6,"4","6",33,1,33,0,0,0,35,68,6,3,1,59
"232","Good",78,292,15,113,26,0,0,100,83,"7","8",26,0,35,1,1,1,24,83,3,4,1,62
"233","Good",86,153,17,77,19,0,0,100,83,"7","8",21,0,43,0,1,1,8,92,1,4,0,83
"234","Good",86,197,1,85,14,1,0,94,25,"6","5",16,1,25,0,1,1,1,-8,1,1,0,38
"235","Bad",69,105,3,30,17,0,0,100,83,"7","8",17,7,12,4,1,1,32,100,6,1,2,64
"236","Bad",73,-8,1,104,12,1,0,93,5,"3","5",0,1,43,24,1,1,0,100,1,2,0,50
"237","Good",83,294,2,106,22,2,1,92,43,"6","4",47,3,16,2,1,1,0,35,2,2,0,44
"238","Good",85,245,4,120,20,0,0,100,83,"7","8",21,1,24,0,1,1,14,-8,2,1,1,30
"239","Good",80,94,23,51,9,0,0,100,83,"7","8",9,0,56,0,0,0,26,77,1,2,0,60
"240","Good",89,136,17,77,7,0,0,100,83,"7","8",6,0,14,24,0,0,6,-8,2,1,0,75
"241","Bad",61,129,7,54,24,0,0,100,83,"7","8",24,3,17,24,2,2,31,86,10,2,4,92
"242","Bad",66,169,19,102,16,0,0,76,17,"6","6",17,0,24,0,0,0,71,-8,5,-8,2,71
"243","Bad",68,-8,4,46,11,1,1,100,83,"6","8",12,1,25,24,1,1,45,-8,6,1,0,88
"244","Good",78,130,4,64,22,0,0,100,83,"7","8",22,1,18,24,5,5,10,-8,3,-8,1,43
"245","Bad",70,45,3,27,3,0,0,100,83,"7","8",4,1,67,0,1,1,55,45,1,1,0,100
"246","Bad",76,336,3,98,22,0,0,100,83,"7","8",25,2,30,3,2,2,48,-8,6,1,3,58
